#Node Number,Latitude,Longitude,Technology,Capacity
n73,43.952722,-89.657219,tA2,50000
n73,43.952722,-89.657219,tK2,50000
n74,43.8887864,-89.6774639,tA4,250000
n74,43.8887864,-89.6774639,tK4,250000
n75,44.3666407,-88.2590818,tA4,250000
n75,44.3666407,-88.2590818,tK4,250000
n76,45.505208,-91.755447,tD3,150000
n76,45.505208,-91.755447,tN3,150000
n79,45.4095924,-92.0364009,tD2,50000
n79,45.4095924,-92.0364009,tN2,50000
n80,45.330174,-91.543636,tA2,50000
n80,45.330174,-91.543636,tK2,50000
n85,44.540205,-87.789123,tA4,250000
n85,44.540205,-87.789123,tK4,250000
n87,44.340874,-88.133287,tD4,250000
n87,44.340874,-88.133287,tN4,250000
n92,44.409054,-87.904771,tA2,50000
n92,44.409054,-87.904771,tK2,50000
n97,44.257304,-87.961376,tA3,150000
n97,44.257304,-87.961376,tK3,150000
n98,44.2994683,-88.110763,tA4,250000
n98,44.2994683,-88.110763,tK4,250000
n103,45.762307,-92.6310929,tA1,30000
n103,45.762307,-92.6310929,tK1,30000
n106,44.097001,-88.147437,tA4,250000
n106,44.097001,-88.147437,tK4,250000
n110,44.203572,-88.106757,tA4,250000
n110,44.203572,-88.106757,tK4,250000
n112,44.235045,-88.06098,tA3,150000
n112,44.235045,-88.06098,tK3,150000
n113,44.9659247,-90.9746861,tD1,30000
n113,44.9659247,-90.9746861,tN1,30000
n114,44.901922,-91.497807,tA2,50000
n114,44.901922,-91.497807,tK2,50000
n115,45.0032736,-90.3526429,tA2,50000
n115,45.0032736,-90.3526429,tK2,50000
n116,44.8511138,-90.2347974,tA3,150000
n116,44.8511138,-90.2347974,tK3,150000
n118,44.7573292,-90.2591344,tA2,50000
n118,44.7573292,-90.2591344,tK2,50000
n123,42.7889219,-89.8135536,tD3,150000
n123,42.7889219,-89.8135536,tN3,150000
n124,44.6407302,-90.3771428,tD3,150000
n124,44.6407302,-90.3771428,tN3,150000
n125,43.2724383,-89.4219432,tD3,150000
n125,43.2724383,-89.4219432,tN3,150000
n133,43.1612969,-89.1700655,tD4,250000
n133,43.1612969,-89.1700655,tN4,250000
n134,43.1255927,-89.5511386,tD3,150000
n134,43.1255927,-89.5511386,tN3,150000
n137,43.574064,-88.450539,tA4,250000
n137,43.574064,-88.450539,tK4,250000
n141,43.3984461,-88.6812317,tA4,250000
n141,43.3984461,-88.6812317,tK4,250000
n142,44.7366839,-87.5027549,tA2,50000
n142,44.7366839,-87.5027549,tK2,50000
n143,44.7726448,-91.9394584,tA2,50000
n143,44.7726448,-91.9394584,tK2,50000
n144,45.1470211,-91.6660948,tD2,50000
n144,45.1470211,-91.6660948,tN2,50000
n153,43.9068922,-88.2924711,tD4,250000
n153,43.9068922,-88.2924711,tN4,250000
n155,43.686573,-88.398594,tA3,150000
n155,43.686573,-88.398594,tK3,150000
n158,43.867771,-88.717945,tA4,250000
n158,43.867771,-88.717945,tK4,250000
n162,42.9348801,-91.090403,tD2,50000
n162,42.9348801,-91.090403,tN2,50000
n164,42.864588,-90.6961853,tA2,50000
n164,42.864588,-90.6961853,tK2,50000
n166,43.7013946,-89.051151,tA2,50000
n166,43.7013946,-89.051151,tK2,50000
n169,43.9712488,-89.0123277,tA2,50000
n169,43.9712488,-89.0123277,tK2,50000
n174,44.2238278,-91.0851155,tA2,50000
n174,44.2238278,-91.0851155,tK2,50000
n176,44.4365416,-90.9365416,tA2,50000
n176,44.4365416,-90.9365416,tK2,50000
n178,44.4013418,-91.1053851,tA2,50000
n178,44.4013418,-91.1053851,tK2,50000
n181,43.1365455,-88.7221335,tD3,150000
n181,43.1365455,-88.7221335,tN3,150000
n183,44.2212573,-89.9558671,tA2,50000
n183,44.2212573,-89.9558671,tK2,50000
n187,44.3673969,-87.665803,tA4,250000
n187,44.3673969,-87.665803,tK4,250000
n188,44.6183421,-87.5815229,tA4,250000
n188,44.6183421,-87.5815229,tK4,250000
n192,44.616287,-87.63395,tA4,250000
n192,44.616287,-87.63395,tK4,250000
n193,44.4997104,-87.5955881,tA4,250000
n193,44.4997104,-87.5955881,tK4,250000
n200,42.6533571,-90.2918458,tK4,250000
n203,42.6533571,-90.2918458,tA4,250000
n204,45.2609184,-89.1320129,tA2,50000
n204,45.2609184,-89.1320129,tK2,50000
n211,43.991883,-87.758921,tA3,150000
n211,43.991883,-87.758921,tK3,150000
n212,44.031183,-87.900083,tA3,150000
n212,44.031183,-87.900083,tK3,150000
n215,43.9505879,-87.7465309,tA4,250000
n215,43.9505879,-87.7465309,tK4,250000
n218,43.922701,-87.868523,tA4,250000
n218,43.922701,-87.868523,tK4,250000
n229,45.032389,-90.121009,tA4,250000
n229,45.032389,-90.121009,tK4,250000
n230,44.844099,-89.26493,tA2,50000
n230,44.844099,-89.26493,tK2,50000
n233,45.1188113,-89.4920215,tD4,250000
n233,45.1188113,-89.4920215,tN4,250000
n234,45.115722,-87.965177,tA4,250000
n234,45.115722,-87.965177,tK4,250000
n241,43.737048,-90.7938889,tA2,50000
n241,43.737048,-90.7938889,tK2,50000
n243,44.9076949,-88.201485,tA3,150000
n243,44.9076949,-88.201485,tK3,150000
n246,44.9766739,-88.3567435,tA4,250000
n246,44.9766739,-88.3567435,tK4,250000
n247,44.470982,-88.460848,tA2,50000
n247,44.470982,-88.460848,tK2,50000
n254,44.486825,-88.7246212,tD3,150000
n254,44.486825,-88.7246212,tN3,150000
n255,44.366372,-88.2587304,tA4,250000
n255,44.366372,-88.2587304,tK4,250000
n260,44.6332077,-91.8728687,tA4,250000
n260,44.6332077,-91.8728687,tK4,250000
n265,45.3457176,-92.5296724,tD2,50000
n265,45.3457176,-92.5296724,tN2,50000
n266,44.5039979,-89.3145939,tA2,50000
n266,44.5039979,-89.3145939,tK2,50000
n267,45.639964,-90.3406313,tA2,50000
n267,45.639964,-90.3406313,tK2,50000
n268,43.2721308,-90.3604491,tD2,50000
n268,43.2721308,-90.3604491,tN2,50000
n269,42.7377508,-89.3607854,tA4,250000
