#SUPS,sup_node,sup_prod,sup_value,sup_price
s1,n1,p2,8770.875308,0
s2,n2,p2,6896.812463,0
s3,n3,p2,19834.59359,0
s4,n4,p2,6519.823282,0
s5,n5,p2,112625.7355,0
s6,n6,p2,5742.772834,0
s7,n7,p2,6599.051955,0
s8,n8,p2,21662.51226,0
s9,n9,p2,27656.46611,0
s10,n10,p2,14994.67937,0
s11,n11,p2,24701.4978,0
s12,n12,p2,7135.369127,0
s13,n13,p2,227953.5169,0
s14,n14,p2,38526.90126,0
s15,n15,p2,11994.87285,0
s16,n16,p2,18980.49108,0
s17,n17,p2,19370.53993,0
s18,n18,p2,44448.59159,0
s19,n19,p2,1943.279103,0
s20,n20,p2,44391.12903,0
s21,n21,p2,3942.714794,0
s22,n22,p2,22745.59434,0
s23,n23,p2,16187.89801,0
s24,n24,p2,8208.438793,0
s25,n25,p2,10366.33183,0
s26,n26,p2,2522.257869,0
s27,n27,p2,8947.616194,0
s28,n28,p2,36810.42511,0
s29,n29,p2,11415.89409,0
s30,n30,p2,73324.39568,0
s31,n31,p2,8865.775587,0
s32,n32,p2,51460.32916,0
s33,n33,p2,7326.04033,0
s34,n34,p2,8368.202107,0
s35,n35,p2,12180.32019,0
s36,n36,p2,34741.33784,0
s37,n37,p2,59146.3811,0
s38,n38,p2,17797.72018,0
s39,n39,p2,6562.484875,0
s40,n40,p2,1990.729243,0
s41,n41,p2,416923.4794,0
s42,n42,p2,19828.49908,0
s43,n43,p2,16296.29329,0
s44,n44,p2,15483.11108,0
s45,n45,p2,79770.64948,0
s46,n46,p2,38243.07106,0
s47,n47,p2,3173.500149,0
s48,n48,p2,17799.89679,0
s49,n49,p2,18910.8395,0
s50,n50,p2,30650.17812,0
s51,n51,p2,5939.973872,0
s52,n52,p2,84922.68985,0
s53,n53,p2,7615.965034,0
s54,n54,p2,70281.92757,0
s55,n55,p2,6148.493292,0
s56,n56,p2,38096.36742,0
s57,n57,p2,27704.78689,0
s58,n58,p2,7128.839291,0
s59,n59,p2,17980.55557,0
s60,n60,p2,50309.77211,0
s61,n61,p2,8904.519279,0
s62,n62,p2,12863.77632,0
s63,n63,p2,13279.94452,0
s64,n64,p2,9310.239737,0
s65,n65,p2,44752.88193,0
s66,n66,p2,6770.133651,0
s67,n67,p2,58191.2838,0
s68,n68,p2,172600.0997,0
s69,n69,p2,22612.82102,0
s70,n70,p2,10462.10275,0
s71,n71,p2,73807.1682,0
s72,n72,p2,31967.89896,0
