#Node Number,Latitude,Longitude,Technology,Capacity
n74,43.8887864,-89.6774639,tA4,250000
n74,43.8887864,-89.6774639,tK4,250000
n78,45.4788,-91.834341,tD4,250000
n78,45.4788,-91.834341,tN4,250000
n80,45.330174,-91.543636,tA2,50000
n80,45.330174,-91.543636,tK2,50000
n83,44.272017,-87.971349,tA4,250000
n83,44.272017,-87.971349,tK4,250000
n85,44.540205,-87.789123,tA4,250000
n85,44.540205,-87.789123,tK4,250000
n94,44.3926874,-88.0903074,tD4,250000
n94,44.3926874,-88.0903074,tN4,250000
n98,44.2994683,-88.110763,tA4,250000
n98,44.2994683,-88.110763,tK4,250000
n103,45.762307,-92.6310929,tA1,30000
n103,45.762307,-92.6310929,tK1,30000
n104,44.1067411,-88.0533203,tA3,150000
n104,44.1067411,-88.0533203,tK3,150000
n106,44.097001,-88.147437,tA4,250000
n106,44.097001,-88.147437,tK4,250000
n112,44.235045,-88.06098,tA4,250000
n112,44.235045,-88.06098,tK4,250000
n114,44.901922,-91.497807,tD1,30000
n114,44.901922,-91.497807,tN1,30000
n115,45.0032736,-90.3526429,tA3,150000
n115,45.0032736,-90.3526429,tK3,150000
n118,44.7573292,-90.2591344,tD3,150000
n118,44.7573292,-90.2591344,tN3,150000
n120,44.705272,-90.435282,tA3,150000
n120,44.705272,-90.435282,tK3,150000
n121,44.5239,-90.7487243,tA2,50000
n121,44.5239,-90.7487243,tK2,50000
n123,42.7889219,-89.8135536,tD4,250000
n123,42.7889219,-89.8135536,tN4,250000
n127,43.2627427,-89.4217487,tD3,150000
n127,43.2627427,-89.4217487,tN3,150000
n133,43.1612969,-89.1700655,tA4,250000
n133,43.1612969,-89.1700655,tK4,250000
n134,43.1255927,-89.5511386,tD3,150000
n134,43.1255927,-89.5511386,tN3,150000
n139,43.487582,-88.432642,tD4,250000
n139,43.487582,-88.432642,tN4,250000
n140,43.5123201,-88.7754202,tA2,50000
n140,43.5123201,-88.7754202,tK2,50000
n144,45.1470211,-91.6660948,tA2,50000
n144,45.1470211,-91.6660948,tK2,50000
n145,44.8923943,-91.6597361,tA2,50000
n145,44.8923943,-91.6597361,tK2,50000
n148,43.835418,-88.293544,tA3,150000
n148,43.835418,-88.293544,tK3,150000
n158,43.867771,-88.717945,tD4,250000
n158,43.867771,-88.717945,tN4,250000
n160,43.6780951,-88.3554973,tA4,250000
n160,43.6780951,-88.3554973,tK4,250000
n162,42.9348801,-91.090403,tD2,50000
n162,42.9348801,-91.090403,tN2,50000
n164,42.864588,-90.6961853,tD2,50000
n164,42.864588,-90.6961853,tN2,50000
n167,43.7057395,-89.0510134,tA2,50000
n167,43.7057395,-89.0510134,tK2,50000
n168,43.634875,-89.004734,tA1,30000
n171,42.6461277,-89.3870026,tA2,50000
n171,42.6461277,-89.3870026,tK2,50000
n174,44.2238278,-91.0851155,tA2,50000
n174,44.2238278,-91.0851155,tK2,50000
n178,44.4013418,-91.1053851,tD2,50000
n178,44.4013418,-91.1053851,tN2,50000
n182,43.1630746,-88.574255,tD4,250000
n182,43.1630746,-88.574255,tN4,250000
n183,44.2212573,-89.9558671,tA2,50000
n183,44.2212573,-89.9558671,tF1,30000
n186,44.663093,-87.588472,tA4,250000
n186,44.663093,-87.588472,tK4,250000
n187,44.3673969,-87.665803,tA3,150000
n187,44.3673969,-87.665803,tK3,150000
n188,44.6183421,-87.5815229,tA4,250000
n188,44.6183421,-87.5815229,tK4,250000
n193,44.4997104,-87.5955881,tA4,250000
n193,44.4997104,-87.5955881,tK4,250000
n198,44.4091049,-87.539651,tA3,150000
n198,44.4091049,-87.539651,tK3,150000
n200,42.6533571,-90.2918458,tA4,250000
n200,42.6533571,-90.2918458,tK4,250000
n204,45.2609184,-89.1320129,tA2,50000
n204,45.2609184,-89.1320129,tK2,50000
