,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-0.0753595555164618,-0.06003838154644905,-0.06003838154644905,0.0,0.08975800488307373,0.1067555159112964,0.15585273803022232,801.1593658744112,-0.0733595555164618,0.1275490898484786,-0.0733595555164618,1.2397775370570847,0.8509326749005339,1.013951875467751,100.9739047534512,101.2052456785523,101.12615759929554,0.1075933293895174,0.17820267307060642,0.08326302685053164,
n2,-0.05532463435231932,-0.05532463435231932,-0.05532463435231932,0.0,0.09447175207720344,0.11146926310542611,0.16056648522435205,801.2242350105262,-0.053324634352319315,0.12283534265434887,-0.013247999360257397,1.3046466731721222,0.9158018110155716,1.0788210115827885,101.03877388956623,101.22489347254302,101.14580539328625,0.02552533446940286,0.1093414302244928,0.002040734738034844,
n3,-0.034532956487371494,0.08631346283020208,-0.034532956487371494,0.0,0.2156453751958652,0.23264288622408788,0.2588112811360972,801.1212043611522,-0.03253295648737149,0.06518704047052155,0.15404607517572336,1.2332966312063312,0.8065458128897419,1.0660569258961148,100.95601502382152,101.13073386214697,101.13977936219906,0.030628288878502108,-0.002185319089151372,0.1989607250032025,
n4,-0.08148698676443963,0.03248150797180341,0.03248150797180341,0.0,0.07651160286594799,0.09350911389417066,0.14260633601309658,801.2570591460254,0.015302694227723679,0.04795306277598241,-0.07948698676443963,1.1994324893024442,0.8368428181538435,0.9998620187210608,100.98432759837607,101.14109402708034,101.05741389538086,0.0729457268840415,0.11926587871245004,0.08889921158602057,
n5,-0.09854878322411088,-0.09854878322411088,-0.09854878322411088,0.0,0.12746224440568873,0.1444597554339114,0.19355697755283738,801.1752436855021,-0.09654878322411088,0.10054878322411089,-0.09654878322411088,1.2546180028455014,0.8222928250323889,0.9853120255996062,100.97249717460953,101.21936551746016,101.13568538576068,0.07907603258399451,0.15187502454727556,0.057758400639067176,
n6,-0.06887483012772998,0.0708654978673559,0.05594521103199332,0.0,0.07944140821592494,0.11493118355416285,0.11789955995169685,801.189967195339,-0.06687483012772998,0.05794521103199331,-0.006968694088117053,1.2890984850900686,0.8553795158474297,1.0406978737657337,101.01382633635106,101.13348069234839,101.0834743950604,0.07587180907593093,-0.007858515774623973,-0.008968694088117055,
n7,-0.10616788820576571,0.1145494251247407,0.04408423501829439,0.0,0.0019151033773171233,0.14203159467680818,0.04037325511308901,801.1686000452517,-0.10416788820576571,-0.015029393206953873,-0.10416788820576571,1.3304458476706595,0.8340123657601111,1.0193307236784153,101.04153463979652,101.11211354226107,101.06210724497309,0.10297222019857624,0.019241895348021343,0.01813171703452826,
n8,-0.042588532732319356,-0.026397882648330227,-0.026397882648330227,0.0,0.12894960539532876,0.051790667602284624,0.05475904399981865,801.2118658188564,-0.024397882648330226,0.06240834755659251,0.04458853273231936,1.2982993740491213,0.856490316891235,1.038423785815103,101.05590018413737,101.16801696587481,101.07584881254262,0.08439651309898227,0.0927830522238568,0.07602827724238728,
n9,-0.027339856215419622,0.03024257317181679,-0.027339856215419622,0.0,0.08471786078298782,0.1154934074858609,0.1337671132013314,801.224106275519,-0.02533985621541962,-0.02533985621541962,-0.02533985621541962,1.2765138433159595,0.8546363050810845,1.0982117093304984,101.06693517069304,101.18145055247372,101.18053656430212,0.15600533006238473,0.08503815295674269,0.13107400154189597,
n10,-0.034598795099487656,0.14308924834011172,0.14308924834011172,0.0,0.14186362809813274,0.15886113912635544,0.23727523476228102,801.1953438418844,-0.032598795099487654,0.05908676740924393,-0.022147640005078975,1.3089887369159559,0.9199975029791626,1.0015185209563056,100.99668395059851,101.22540019763109,101.1909238506863,0.1044084371456788,0.07430092667340349,0.08926914154494928,
n11,-0.0634306939403588,0.15406908158083124,0.0568157878516124,0.0,0.05745453173796786,0.08823007844084094,0.10650378415631143,801.2020527402057,-0.0614306939403588,0.01601052249718729,0.0588157878516124,1.2910542854733036,0.8019534048815863,0.9921100077208631,101.05749089779925,101.18217364522184,101.07987455433197,0.12874200101736477,0.12638853166934957,0.103810672496876,
n12,-0.06949431867185901,0.11918148317122473,0.07270886240810309,0.0,0.1568440298026465,0.18761957650551958,0.20589328222099007,801.1921753428377,-0.06749431867185901,0.1706505541220132,-0.0007536862010789069,1.2588845264785513,0.9070695082602326,1.0972261110995094,101.0935437446827,101.13288818463127,101.18499065771061,0.17515868366389353,0.09150093325974307,0.0689230740872695,
n13,-0.055157301476536545,0.026841450245308346,0.026841450245308346,0.0,0.06123242451787137,0.07822993554609406,0.15664403118201967,801.127676545485,-0.05315730147653654,0.09108077269991988,-0.04612104921512316,1.2736813622059908,0.8830332771269186,1.0056255577665152,101.05667966360998,101.2295072344413,101.19503088749651,0.1380212302293766,0.10791371975710132,0.08156844752580644,
n14,-0.0646196393843419,-0.0646196393843419,-0.0646196393843419,0.0,0.28138008908367274,0.2983776001118954,0.2962442827411895,801.2436791431212,-0.0626196393843419,0.06510230885060361,-0.0626196393843419,1.289398084605349,0.9098773991884578,1.0728965997556748,100.99867053801111,101.21752327612589,101.10048979916638,0.08225825613105647,0.037377963294997346,0.026148981516446318,
