# 1. Node ID| 2. Node Name| 3. Node longitude| 4. Node latitude
NMAD|MadisonWI|0|0
NC001|CAFO1|0|0
NC002|CAFO2|0|0
NC003|CAFO3|0|0
NC004|CAFO4|0|0
NC005|CAFO5|0|0
NC006|CAFO6|0|0
NC007|CAFO7|0|0
NC008|CAFO8|0|0
NC009|CAFO9|0|0
NC010|CAFO10|0|0
NC011|CAFO11|0|0
NC012|CAFO12|0|0
NC013|CAFO13|0|0
NC014|CAFO14|0|0
NC015|CAFO15|0|0
NC016|CAFO16|0|0
NC017|CAFO17|0|0
NC018|CAFO18|0|0
NC019|CAFO19|0|0
NC020|CAFO20|0|0
NC021|CAFO21|0|0
NC022|CAFO22|0|0
NC023|CAFO23|0|0
NC024|CAFO24|0|0
NC025|CAFO25|0|0
NC026|CAFO26|0|0
NC027|CAFO27|0|0
NC028|CAFO28|0|0
NC029|CAFO29|0|0
NC030|CAFO30|0|0
NC031|CAFO31|0|0
NC032|CAFO32|0|0
NC033|CAFO33|0|0
NC034|CAFO34|0|0
NC035|CAFO35|0|0
NC036|CAFO36|0|0
NC037|CAFO37|0|0
NC038|CAFO38|0|0
NC039|CAFO39|0|0
NC040|CAFO40|0|0
NC041|CAFO41|0|0
NC042|CAFO42|0|0
NC043|CAFO43|0|0
NC044|CAFO44|0|0
NC045|CAFO45|0|0
NC046|CAFO46|0|0
NC047|CAFO47|0|0
NC048|CAFO48|0|0
NC049|CAFO49|0|0
NC050|CAFO50|0|0
NC051|CAFO51|0|0
NC052|CAFO52|0|0
NC053|CAFO53|0|0
NC054|CAFO54|0|0
NC055|CAFO55|0|0
NC056|CAFO56|0|0
NC057|CAFO57|0|0
NC058|CAFO58|0|0
NC059|CAFO59|0|0
NC060|CAFO60|0|0
NC061|CAFO61|0|0
NC062|CAFO62|0|0
NC063|CAFO63|0|0
NC064|CAFO64|0|0
NC065|CAFO65|0|0
NC066|CAFO66|0|0
NC067|CAFO67|0|0
NC068|CAFO68|0|0
NC069|CAFO69|0|0
NC070|CAFO70|0|0
