node,Latitude,Longitude,P difference,Waste Demand
n256,43.2861,-89.3931,0.5708919732581356,10617.721018286304
n934,43.201,-89.3853,0.5708919732217659,7948.950850772492
n821,43.2044,-89.2406,0.5708919731779284,6096.238995788415
n464,43.2575,-89.4634,0.570891973164523,5691.518978586558
n676,43.2286,-89.3883,0.5708919731583341,5522.5228135976795
n294,43.2723,-89.3129,0.5708919731576962,5505.743713446141
n952,43.1987,-89.4205,0.570891973153714,5403.04804495732
n1207,43.1531,-89.4744,0.5708919731251743,4767.851500434852
n450,43.2548,-89.4102,0.5708919731112826,4511.473881278594
n463,43.2474,-89.2699,0.5708919731059615,4420.7371761595095
n826,43.2035,-89.2718,0.5708919730910493,4185.773774077311
n1248,43.1461,-89.5464,0.5708919730648436,3831.1686901734365
n1145,43.1701,-89.5003,0.5708919730428081,3579.352066868687
n1199,43.1568,-89.4967,0.570891973021613,3368.955008902912
n398,43.2618,-89.2818,0.5708919730206764,3360.2780271906227
n232,43.2841,-89.3752,0.5708919730152099,3310.6638347992935
n732,43.2287,-89.5212,0.5708919730114951,3277.8841912940766
n984,43.1913,-89.3797,0.5708919729925364,3121.2356991366178
n278,43.2779,-89.4406,0.5708919729706108,2959.989433437222
n1251,43.1479,-89.5578,0.5708919729688859,2948.0864857895076
n383,43.2572,-89.2632,0.5708919729583017,2877.539866630222
n1139,43.166,-89.456,0.5708919729538438,2848.987673452719
n1183,43.1579,-89.4817,0.5708919729062273,2580.7996179352317
n1290,43.1368,-89.5501,0.5708919729045819,2572.604989566506
n272,43.275,-89.3309,0.5708919729028199,2563.909336824271
n1027,43.1862,-89.4167,0.5708919728845422,2477.5293709984235
n358,43.2697,-89.4424,0.5708919728770855,2444.2676563340083
n436,43.2567,-89.3732,0.5708919728615154,2378.282313888151
n660,43.225,-89.2681,0.5708919728532038,2344.835122625332
n730,43.2274,-89.4666,0.5708919728448384,2312.3524214922413
n860,43.2158,-89.5243,0.5708919728393804,2291.7538211048795
n742,43.2185,-89.3732,0.5708919728326508,2267.0024571414783
n394,43.2571,-89.2738,0.5708919728245352,2238.0049718221317
n617,43.2312,-89.3757,0.5708919728233742,2233.944719490432
n1240,43.1445,-89.4997,0.5708919728063704,2176.4321008829297
n566,43.2324,-89.2608,0.5708919727946783,2139.0360128113275
n982,43.1975,-89.4867,0.5708919727866657,2114.3771600940954
n1101,43.174,-89.4706,0.5708919727684102,2060.8138937244676
n1022,43.1834,-89.3838,0.5708919727654751,2052.5261910683607
n274,43.272,-89.2787,0.5708919727653897,2052.285155486417
n868,43.2188,-89.554,0.5708919727518823,2015.2970161893272
n1226,43.1488,-89.5024,0.5708919727488432,2007.231960262907
n633,43.2292,-89.3288,0.5708919727319832,1963.914579006728
n1024,43.1856,-89.4054,0.5708919726666148,1817.3220356928075
n998,43.1952,-89.5136,0.5708919726624777,1809.0343330382786
n674,43.2247,-89.3771,0.570891972645427,1775.9582039200152
n486,43.2417,-89.2849,0.5708919726297574,1747.0351244935453
n597,43.2396,-89.4924,0.5708919726157305,1722.28347704874
n1138,43.1682,-89.4875,0.5708919726110212,1714.1997474685684
n412,43.2605,-89.4313,0.5708919725469803,1627.3377105386721
