,Latitude,Longitude,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
n1,43.1702003,-89.5497971,-17.76165926,-24.18882005,-18.98952596,0,0,0,0,797.4242059,-16.59342027,-24.58999376,-19.11593928,-16.45344004,-15.8834369,-11.33034218,97.42420586,97.42420586,97.42420586,0,0,0
n2,43.1697998,-89.5447998,-17.787439,-24.30714191,-19.09896272,0,0,0,0,797.4767111,-16.51308772,-24.60175621,-19.1304352,-16.40573282,-15.88072643,-11.33031058,97.47671114,97.47671114,97.47671114,0,0,0
n3,43.1987991,-89.5868988,-17.51412526,-23.67011634,-19.30694585,0,0,0,0,796.7296543,-15.85640987,-23.64130543,-18.38333147,-16.67485891,-16.37061467,-11.79845267,96.72965432,96.72965432,96.72965432,0,0,0
n4,43.153801,-89.5569992,-17.28533255,-24.50357052,-19.25918166,0,0,0,0,797.5325823,-17.12037218,-25.09606283,-19.52721762,-16.55618517,-15.59831782,-11.04771393,97.53258227,97.53258227,97.53258227,0,0,0
n5,43.1529999,-89.5457001,-17.56005921,-24.51699138,-19.23190042,0,0,0,0,797.6586234,-16.87494574,-25.15864242,-19.61519771,-16.40966428,-15.58454959,-11.03404307,97.65862337,97.65862337,97.65862337,0,0,0
n6,43.1259995,-89.5635986,-18.22130383,-24.70133682,-19.2419824,0,0,0,0,797.7028444,-16.72200279,-25.66899947,-20.07238114,-16.20792462,-15.25262106,-10.70215604,97.70284444,97.70284444,97.70284444,0,0,0
n7,43.1259995,-89.574501,-18.30021859,-24.55213075,-19.03036275,0,0,0,0,797.573569,-16.86678881,-25.40612478,-19.80850507,-16.16657725,-15.33182111,-10.77937525,97.57356897,97.57356897,97.57356897,0,0,0
n8,43.1226006,-89.5328979,-18.47342046,-24.94558606,-19.56940324,0,0,0,0,798.0864601,-16.41911883,-25.51848362,-19.95440273,-16.141465,-15.35420686,-10.80374184,98.08646009,98.08646009,98.08646009,0,0,0
n9,43.148201,-89.4681015,-16.79394417,-24.13260526,-18.8608528,0,0,0,0,798.414561,-16.71056292,-24.10460111,-18.7903316,-15.4044972,-16.2192739,-11.62322923,98.414561,98.414561,98.414561,0,0,0
n10,43.1609993,-89.4651031,-16.60473807,-23.86416728,-18.67635983,0,0,0,0,798.2389125,-16.28007521,-23.87340107,-18.61705055,-15.63420642,-16.34552025,-11.71792287,98.23891249,98.23891249,98.23891249,0,0,0
n11,43.1478004,-89.4598999,-16.99288486,-23.95186967,-18.67445517,0,0,0,0,798.4758393,-16.51163741,-23.92320667,-18.7191792,-15.50181526,-16.30357026,-11.5628642,98.4758393,98.4758393,98.4758393,0,0,0
n12,43.1488991,-89.4518967,-17.00173777,-23.87259288,-18.6230528,0,0,0,0,798.5070577,-16.32176337,-23.73344777,-18.72292206,-15.58078189,-16.31960623,-11.53410006,98.50705773,98.50705773,98.50705773,0,0,0
n13,43.1666985,-89.4717026,-16.75588682,-23.84990601,-18.68801519,0,0,0,0,798.1097192,-16.11135122,-23.86570038,-18.69214133,-15.71416148,-16.35828178,-11.76233623,98.10971923,98.10971923,98.10971923,0,0,0
n14,43.1696014,-89.5307007,-17.89383271,-24.37808592,-19.11901986,0,0,0,0,797.6098026,-16.55452456,-24.65965306,-19.24141844,-16.24739091,-15.91781866,-11.36715093,97.60980259,97.60980259,97.60980259,0,0,0
n15,43.1780014,-89.4785995,-17.07567993,-23.57617304,-18.44910585,0,0,0,0,797.8915359,-16.13932239,-24.07951641,-18.8557784,-15.93303765,-16.40865397,-11.83956276,97.89153592,97.89153592,97.89153592,0,0,0
n16,43.2196999,-89.441803,-16.02561787,-22.90899757,-17.94470512,0,0,0,0,797.3531862,-15.68550496,-23.14774862,-18.06281685,-16.71415129,-17.27082194,-12.67366209,97.3531862,97.3531862,97.3531862,0,0,0
n17,43.2248001,-89.5178986,-17.74876049,-23.72474178,-18.59446509,0,0,0,0,796.9217768,-15.83384862,-23.87577946,-18.67407884,-16.69891845,-16.88173036,-12.33594659,96.92177684,96.92177684,96.92177684,0,0,0
n18,43.2354012,-89.5203018,-17.96961186,-23.79552717,-18.62168025,0,0,0,0,796.7424448,-15.82914082,-23.72052281,-18.53248653,-16.62917429,-17.01799871,-12.48505554,96.74244476,96.74244476,96.74244476,0,0,0
n19,43.1635017,-89.4608002,-16.47158148,-23.91127649,-18.67333233,0,0,0,0,798.2244581,-16.31295992,-23.75832386,-18.60991658,-15.69112785,-16.41563086,-11.7563783,98.22445815,98.22445815,98.22445815,0,0,0
n20,43.1959991,-89.4356003,-15.87648977,-22.80704129,-17.79559906,0,0,0,0,797.7800283,-15.56313974,-22.88234444,-17.67511678,-16.34840506,-17.04363819,-12.26206745,97.78002826,97.78002826,97.78002826,0,0,0
n21,43.1968002,-89.5034027,-17.51636908,-23.64937359,-18.45234549,0,0,0,0,797.4439749,-15.94405163,-24.08650366,-18.83721394,-16.31290113,-16.49817334,-11.94770832,97.4439749,97.4439749,97.4439749,0,0,0
n22,43.2714996,-89.3850021,-16.04262823,-23.15292578,-18.34917903,0,0,0,0,796.4828447,-14.63706094,-21.70509627,-16.98525806,-17.44687444,-17.80901762,-13.13153497,96.48284475,96.48284475,96.48284475,0,0,0
n23,43.273201,-89.382103,-16.13089611,-23.22058635,-18.42430751,0,0,0,0,796.4503925,-14.54712533,-21.62612185,-16.90152662,-17.45648378,-17.77660026,-13.14114432,96.45039252,96.45039252,96.45039252,0,0,0
n24,43.2653999,-89.4016037,-15.59346868,-22.74498698,-17.94124023,0,0,0,0,796.5969947,-15.08455276,-22.11303507,-17.28854422,-17.64828994,-17.8953228,-13.25987421,96.5969947,96.5969947,96.5969947,0,0,0
n25,43.277401,-89.3796005,-16.25748988,-23.27460011,-18.4671218,0,0,0,0,796.3739214,-14.51945181,-21.53004504,-16.84354628,-17.42375654,-17.82622186,-13.08659988,96.37392143,96.37392143,96.37392143,0,0,0
n26,43.2748985,-89.3725967,-16.3616877,-23.45590231,-18.64314042,0,0,0,0,796.409891,-14.3700806,-21.39034661,-16.66512441,-17.41519097,-17.72572934,-13.06911933,96.40989099,96.40989099,96.40989099,0,0,0
n27,43.283699,-89.4039001,-16.20302006,-22.67654012,-17.96623257,0,0,0,0,796.2730934,-14.66242076,-21.93332458,-17.11474303,-17.40950021,-17.82330784,-13.20399866,96.27309339,96.27309339,96.27309339,0,0,0
n28,43.2056999,-89.3778992,-16.07599082,-23.13430916,-18.33559605,0,0,0,0,797.6339544,-14.52812531,-21.71728899,-16.91723813,-16.93958776,-17.14796911,-12.35008597,97.63395441,97.63395441,97.63395441,0,0,0
n29,43.2350006,-89.3892975,-16.03734751,-23.31353667,-18.51116518,0,0,0,0,797.1306828,-14.60010836,-21.80800538,-16.98299905,-17.14352499,-17.54983666,-12.80969302,97.13068278,97.13068278,97.13068278,0,0,0
n30,43.2285004,-89.3223038,-14.58168844,-24.51771855,-19.20528783,0,0,0,0,797.0672059,-13.96009354,-20.28866446,-15.61225042,-17.54853094,-17.13676362,-12.64489124,97.06720585,97.06720585,97.06720585,0,0,0
n31,43.2387009,-89.3114014,-15.01055293,-24.6235402,-19.28546423,0,0,0,0,796.8483714,-13.531526,-20.00347196,-15.47128451,-17.34593688,-17.08585466,-12.68409676,96.84837141,96.84837141,96.84837141,0,0,0
n32,43.1954994,-89.3641968,-16.07308047,-23.54453159,-18.71856519,0,0,0,0,797.7815336,-14.2102919,-21.3254343,-16.58851182,-16.83394895,-17.10383074,-12.21620575,97.78153362,97.78153362,97.78153362,0,0,0
n33,43.2100983,-89.2738037,-15.90352208,-23.66278183,-18.44053534,0,0,0,0,797.0700396,-12.83882711,-19.21248225,-14.93314019,-17.29334547,-16.94702992,-12.72921893,97.07003958,97.07003958,97.07003958,0,0,0
n34,43.2444992,-89.3010025,-15.32105925,-24.3325741,-19.03253326,0,0,0,0,796.7024862,-13.24478472,-19.75580004,-15.3255195,-17.27035636,-17.10240797,-12.66212364,96.70248624,96.70248624,96.70248624,0,0,0
n35,43.2033997,-89.5521011,-16.65895044,-23.62630872,-18.7093478,0,0,0,0,796.9814358,-16.37865304,-23.9219019,-18.71343118,-16.86333845,-16.45035469,-11.88003973,96.98143579,96.98143579,96.98143579,0,0,0
n36,43.1949997,-89.5595016,-16.99011532,-23.79438379,-18.8884281,0,0,0,0,797.0284249,-16.21982188,-24.00493353,-18.81203797,-16.72351727,-16.28642591,-11.70525816,97.02842495,97.02842495,97.02842495,0,0,0
n37,43.1955986,-89.5334015,-17.17995157,-23.81214301,-18.66493065,0,0,0,0,797.2409289,-16.13308756,-23.99511743,-18.68998205,-16.58570991,-16.35125375,-11.80170681,97.24092889,97.24092889,97.24092889,0,0,0
n38,43.2266006,-89.3581009,-15.23350539,-23.77000325,-18.63047607,0,0,0,0,797.2269783,-14.71218125,-21.14010924,-16.33026304,-17.38875851,-17.42639388,-12.63157734,97.22697827,97.22697827,97.22697827,0,0,0
n39,43.1903,-89.4852982,-17.09317452,-23.59674234,-18.37530341,0,0,0,0,797.6588372,-15.97168083,-23.82835911,-18.5649225,-16.14401237,-16.52402814,-11.97341433,97.65883721,97.65883721,97.65883721,0,0,0
