Solving time,2019-9-30 11:45
Total social welfare (million $year),1.3340254582930312e8
Total revenue (million $/year),0.0
Total supply cost (million $/year),-1.3351468061535001e8
Total transportation cost (million $/year),112134.78604689102
Total technology cost (million $/year),0.0
Total supplier profit (million $/year),1.33402545829303e8
Total customer profit (million $/year),0.0
Total transportation provider profit (million $/year),0.0
Total technology provider profit (million $/year),0.0
Percentage of suppliers involved (%),100.0
Percentage of customers involved (%),1.9372798545619816
Percentage of transportation provider involved (%),0.0009813982806125806
Percentage of technology provider involved (%),0.0
Ratio of applied P and uptaken P by crops,1.4561709026716605


