,date,secchi_m,chla,TP,Perception
0,1990-06-21,5.9,,,1.0
1,1990-07-06,5.9,,,1.0
2,1990-07-22,3.5,,,2.0
3,1990-08-01,4.3,,,1.0
4,1990-08-09,4.6,,,1.0
5,1990-08-22,5.6,,,1.0
6,1990-09-01,4.9,,,1.0
7,1990-09-08,4.7,,,1.0
8,1990-09-15,4.7,,,1.0
9,1990-10-06,4.1,,,1.0
10,1991-04-20,6.7,,,1.0
11,1991-04-28,5.6,,,1.0
12,1991-05-04,4.9,,,1.0
13,1991-05-20,7.6,,,1.0
14,1991-05-28,6.5,,,2.0
15,1991-06-04,7.1,,,1.0
16,1991-06-12,8.7,,,1.0
17,1991-06-19,9.4,,,1.0
18,1991-06-27,9.1,,,1.0
19,1991-07-05,9.1,,,1.0
20,1991-07-18,9.4,,,1.0
21,1991-07-29,6.7,,,3.0
22,1991-08-13,6.4,,,1.0
23,1991-08-20,7.1,,,1.0
24,1991-08-25,7.3,,,1.0
25,1991-08-31,7.3,,,1.0
26,1991-09-21,6.1,,,1.0
27,1991-09-29,4.9,,,1.0
28,1992-04-09,5.5,,,1.0
29,1992-05-09,7.3,,,1.0
30,1992-05-19,7.3,,,1.0
31,1992-06-01,7.9,,,2.0
32,1992-06-09,10.0,,,1.0
33,1992-06-20,7.9,,,1.0
34,1992-06-30,8.8,,,1.0
35,1992-07-10,6.7,,,1.0
36,1992-07-21,5.5,,,3.0
37,1992-07-31,4.3,,,3.0
38,1992-08-14,4.3,,,3.0
39,1992-08-22,4.3,,,3.0
40,1992-08-29,4.0,,,3.0
41,1992-09-12,4.6,,,3.0
42,1992-09-19,5.5,,,2.0
43,1992-09-27,5.5,,,1.0
44,1992-10-01,6.4,,,1.0
45,1992-10-11,6.4,,,1.0
46,1992-10-18,6.4,,,1.0
47,1992-10-25,6.4,,,1.0
48,1993-04-24,3.3,,,2.0
49,1993-04-30,2.4,,,3.0
50,1993-05-08,4.3,,,2.0
51,1993-05-13,,1.64,,
52,1993-05-13,6.4,,10,1.0
53,1993-05-20,5.8,,,1.0
54,1993-06-01,6.1,,,1.0
55,1993-06-09,,,13,
56,1993-06-09,4.9,1.61,,2.0
57,1993-06-21,4.6,,,2.0
58,1993-07-02,3.0,,,2.0
59,1993-07-09,3.3,,,2.0
60,1993-07-19,,1.97,6,
61,1993-07-19,4.0,,,2.0
62,1993-07-30,4.0,,,2.0
63,1993-08-11,,1.05,,
64,1993-08-11,4.3,,5,2.0
65,1993-08-21,5.8,,,1.0
66,1993-08-27,6.4,,,1.0
67,1993-09-04,6.4,,,1.0
68,1993-09-18,7.0,,,1.0
69,1993-09-23,7.6,,,1.0
70,1993-10-12,,1.1,,
71,1993-10-12,9.1,,10,1.0
72,1994-04-21,4.3,,,1.0
73,1994-05-06,6.7,,,1.0
74,1994-05-18,6.1,2.84,8,1.0
75,1994-05-25,6.1,,,1.0
76,1994-06-01,4.9,,,2.0
77,1994-06-08,3.3,,,3.0
78,1994-06-14,2.7,3.88,9,3.0
79,1994-06-21,3.0,,,3.0
80,1994-06-27,3.6,,,3.0
81,1994-07-06,4.4,,,2.0
82,1994-07-11,4.6,2.59,13,2.0
83,1994-07-18,6.1,,,2.0
84,1994-07-25,6.4,,,1.0
85,1994-08-15,6.1,1.65,8,1.0
86,1994-08-21,6.1,,,1.0
87,1994-08-28,6.1,,,1.0
88,1994-09-06,4.9,,,1.0
89,1994-09-13,5.8,,,1.0
90,1994-09-24,7.9,,,1.0
91,1994-10-11,10.0,,,1.0
92,1994-10-18,10.0,1.33,9,1.0
93,1995-04-04,5.8,4.44,16,1.0
94,1995-05-05,4.9,,,1.0
95,1995-05-16,6.7,,,1.0
96,1995-05-24,6.4,,,1.0
97,1995-05-31,8.5,,,1.0
98,1995-06-12,6.7,2.42,,2.0
99,1995-06-20,3.3,,,3.0
100,1995-06-29,5.5,,,2.0
101,1995-07-07,5.8,,,1.0
102,1995-07-11,7.6,0.42,,1.0
103,1995-07-18,4.9,,,2.0
104,1995-07-25,5.2,,,2.0
105,1995-08-04,5.8,,,2.0
106,1995-08-16,,2.11,,
107,1995-08-17,5.5,,,2.0
108,1995-08-26,6.1,,,2.0
109,1995-09-02,6.1,,,2.0
110,1995-09-09,5.8,,,2.0
111,1995-09-17,6.7,,,2.0
112,1995-09-23,7.9,,,1.0
113,1995-10-31,8.5,1.54,,1.0
114,1996-06-02,5.2,,,1.0
115,1996-06-13,7.6,,,1.0
116,1996-06-17,,1.23,,
117,1996-06-29,6.7,,,1.0
118,1996-07-08,5.2,,,1.0
119,1996-07-15,4.9,1.67,,2.0
120,1996-08-06,4.9,,,1.0
121,1996-08-12,5.2,1.7,,2.0
122,1996-08-24,6.4,,,1.0
123,1996-09-03,6.1,,,1.0
124,1996-10-19,8.8,,,1.0
125,1996-10-20,8.8,,,1.0
126,1996-10-22,,1.81,,
127,1997-04-21,4.0,,,1.0
128,1997-05-10,6.1,,,1.0
129,1997-05-20,6.1,,20,1.0
130,1997-06-02,6.7,,,1.0
131,1997-06-16,6.1,,22.5,1.0
132,1997-06-28,6.4,,,2.0
133,1997-07-06,5.5,,,2.0
134,1997-07-15,4.9,1.73,18,3.0
135,1997-08-13,3.6,2.83,9,2.0
136,1997-08-23,4.9,,,2.0
137,1997-09-11,5.2,,,1.0
138,1997-09-23,5.8,,,1.0
139,1997-10-14,4.9,2.67,9,1.0
140,1998-04-19,7.9,,,1.0
141,1998-05-12,6.7,,6,1.0
142,1998-05-22,6.7,,,1.0
143,1998-06-15,6.1,2.62,7,1.0
144,1998-06-29,5.2,,,1.0
145,1998-07-10,3.0,,,2.0
146,1998-07-13,3.0,1.37,8,2.0
147,1998-07-20,4.3,,,2.0
148,1998-08-11,5.8,1.71,,1.0
149,1998-08-29,5.5,,,2.0
150,1998-10-10,5.8,,,1.0
151,1998-10-20,6.7,1.27,10,1.0
152,1999-04-20,,,,
153,1999-04-20,4.0,,,1.0
154,1999-04-30,4.9,,,1.0
155,1999-05-11,7.6,,6,1.0
156,1999-05-19,9.4,,,1.0
157,1999-05-27,9.4,,,1.0
158,1999-06-22,9.4,0.5,,1.0
159,1999-06-29,7.3,,,1.0
160,1999-07-06,7.6,,,1.0
161,1999-07-20,7.6,0.62,7,1.0
162,1999-07-29,7.0,,,1.0
163,1999-08-14,7.0,1.84,9,1.0
164,1999-09-06,5.8,,,1.0
165,1999-09-21,6.4,2.01,11,1.0
166,1999-10-19,7.0,2.0,9,1.0
167,2002-08-14,,1.87,7,
168,2002-08-14,5.1,,,
169,2003-06-22,7.9,,,1.0
170,2003-07-19,2.7,,,1.0
171,2003-08-04,2.7,,,2.0
172,2003-10-05,6.1,,,1.0
173,2003-10-19,8.2,,,1.0
174,2004-04-07,3.5,,12,
175,2004-04-07,3.5,,,
176,2004-06-27,5.8,,,2.0
177,2004-07-18,5.5,,,1.0
178,2004-07-24,,1.37,8,
179,2004-08-01,4.0,,,1.0
180,2004-08-22,4.0,,,2.0
181,2004-09-11,4.6,,,1.0
182,2004-10-24,5.5,3.47,13,1.0
183,2005-05-31,9.1,,11,1.0
184,2005-06-25,6.7,,,1.0
185,2005-07-03,5.2,,,2.0
186,2005-07-23,3.6,,,1.0
187,2005-08-06,5.8,,,1.0
188,2006-05-21,9.1,,,2.0
189,2006-06-04,8.2,,,3.0
190,2007-06-24,1.8,,,2.0
191,2008-06-01,7.9,,,4.0
192,2008-09-01,4.3,,,2.0
193,2008-09-17,4.9,,,2.0
194,2008-11-04,4.9,,,2.0
195,2010-04-20,7.3,,,1.0
196,2010-06-20,5.5,,,2.0
197,2010-07-11,4.3,,,2.0
198,2010-07-28,4.0,,,2.0
199,2012-06-27,4.3,,,2.0
200,2012-08-06,4.0,,,2.0
201,2013-05-15,9.1,,,1.0
202,2013-06-09,9.1,,,3.0
203,2013-07-13,4.9,,,2.0
204,2013-09-01,3.0,,,2.0
205,2013-10-12,6.7,,,2.0
206,2018-07-09,1.8,,,2.0
207,2018-08-08,6.4,,,1.0
208,2018-09-18,4.9,,,2.0
209,2019-06-26,3.6,,,2.0
210,2019-07-31,3.3,,,1.0
211,2019-08-21,4.3,,,1.0
212,2019-09-25,4.9,,,1.0
213,2020-06-06,5.8,,,1.0
214,2020-06-19,4.1,,,1.0
215,2020-06-30,2.4,,,3.0
216,2020-07-08,2.4,,,2.0
217,2020-08-14,6.1,,,1.0
218,2020-09-23,5.2,,,1.0
