#DEMS,dem_node,dem_prod,dem_cap,dem_price
d1,n101,p2,800000,0.33
d2,n1,p3,500000,0.05
d3,n2,p3,500000,0.05
d4,n3,p3,500000,0.05
d5,n4,p3,500000,0.05
d6,n5,p3,500000,0.05
d7,n6,p3,500000,0.05
d8,n7,p3,500000,0.05
d9,n8,p3,500000,0.05
d10,n9,p3,500000,0.05
d11,n10,p3,500000,0.05
d12,n11,p3,500000,0.05
d13,n12,p3,500000,0.05
d14,n13,p3,500000,0.05
d15,n14,p3,500000,0.05
d16,n15,p3,500000,0.05
d17,n16,p3,500000,0.05
d18,n17,p3,500000,0.05
d19,n18,p3,500000,0.05
d20,n19,p3,500000,0.05
d21,n20,p3,500000,0.05
d22,n21,p3,500000,0.05
d23,n22,p3,500000,0.05
d24,n23,p3,500000,0.05
d25,n24,p3,500000,0.05
d26,n25,p3,500000,0.05
d27,n26,p3,500000,0.05
d28,n27,p3,500000,0.05
d29,n28,p3,500000,0.05
d30,n29,p3,500000,0.05
d31,n30,p3,500000,0.05
d32,n31,p3,500000,0.05
d33,n32,p3,500000,0.05
d34,n33,p3,500000,0.05
d35,n34,p3,500000,0.05
d36,n35,p3,500000,0.05
d37,n36,p3,500000,0.05
d38,n37,p3,500000,0.05
d39,n38,p3,500000,0.05
d40,n39,p3,500000,0.05
d41,n40,p3,500000,0.05
d42,n41,p3,500000,0.05
d43,n42,p3,500000,0.05
d44,n43,p3,500000,0.05
d45,n44,p3,500000,0.05
d46,n45,p3,500000,0.05
d47,n46,p3,500000,0.05
d48,n47,p3,500000,0.05
d49,n48,p3,500000,0.05
d50,n49,p3,500000,0.05
d51,n50,p3,500000,0.05
d52,n51,p3,500000,0.05
d53,n52,p3,500000,0.05
d54,n53,p3,500000,0.05
d55,n54,p3,500000,0.05
d56,n55,p3,500000,0.05
d57,n56,p3,500000,0.05
d58,n57,p3,500000,0.05
d59,n58,p3,500000,0.05
d60,n59,p3,500000,0.05
d61,n60,p3,500000,0.05
d62,n61,p3,500000,0.05
d63,n62,p3,500000,0.05
d64,n63,p3,500000,0.05
d65,n64,p3,500000,0.05
d66,n65,p3,500000,0.05
d67,n66,p3,500000,0.05
d68,n67,p3,500000,0.05
d69,n68,p3,500000,0.05
d70,n69,p3,500000,0.05
d71,n70,p3,500000,0.05
d72,n71,p3,500000,0.05
d73,n72,p3,500000,0.05
d74,n73,p3,500000,0.05
d75,n74,p3,500000,0.05
d76,n75,p3,500000,0.05
d77,n76,p3,500000,0.05
d78,n77,p3,500000,0.05
d79,n78,p3,500000,0.05
d80,n79,p3,500000,0.05
d81,n80,p3,500000,0.05
d82,n81,p3,500000,0.05
d83,n82,p3,500000,0.05
d84,n83,p3,500000,0.05
