#1. Tech location reference ID,2. Node ID,3. Time ID,4. Tech ID
L001,N06037,T0,TA2
L002,N17031,T0,TA2
L003,N48201,T0,TA2
L004,N04013,T0,TA2
L005,N06073,T0,TA2
L006,N06059,T0,TA2
L007,N36047,T0,TA2
L008,N12086,T0,TA1
L009,N48113,T0,TA2
L010,N36081,T0,TA2
L011,N32003,T0,TA2
L012,N06071,T0,TA2
L013,N48439,T0,TA2
L014,N48029,T0,TA1
L015,N12011,T0,TA2
L016,N06085,T0,TA2
L017,N06001,T0,TA2
L018,N25017,T0,TA2
L019,N42101,T0,TA2
L020,N06067,T0,TA2
L021,N12099,T0,TA1
L022,N12057,T0,TA2
L023,N12095,T0,TA2
L024,N36059,T0,TA2
L025,N39049,T0,TA2
L026,N48453,T0,TA2
L027,N26125,T0,TA2
L028,N39035,T0,TA2
L029,N42003,T0,TA1
L030,N51059,T0,TA2
L031,N13121,T0,TA2
L032,N04019,T0,TA1
L033,N06019,T0,TA1
L034,N12031,T0,TA1
L035,N18097,T0,TA1
L036,N13135,T0,TA2
L037,N36029,T0,TA1
L038,N47157,T0,TA1
L039,N06029,T0,TA1
L040,N48215,T0,TA1
L041,N48141,T0,TA1
L042,N09009,T0,TA2
L043,N34023,T0,TA2
L044,N25027,T0,TA1
L045,N24005,T0,TA2
L046,N06111,T0,TA2
L047,N48157,T0,TA1
L048,N40109,T0,TA1
L049,N21111,T0,TA1
L050,N06077,T0,TA1
L051,N12071,T0,TA1
L052,N36055,T0,TA1
L053,N29095,T0,TA1
L054,N47037,T0,TA1
L055,N17097,T0,TA1
L056,N17197,T0,TA2
L057,N35001,T0,TA1
L058,N01073,T0,TA1
L059,N40143,T0,TA1
L060,N44007,T0,TA1
L061,N26081,T0,TA1
L062,N48339,T0,TA1
L063,N20091,T0,TA1
L064,N08059,T0,TA2
L065,N25005,T0,TA1
L066,N42071,T0,TA2
L067,N39113,T0,TA1
L068,N45045,T0,TA1
L069,N34031,T0,TA2
L070,N20173,T0,TA1
L071,N47093,T0,TA1
L072,N36067,T0,TA1
L073,N06107,T0,TA1
L074,N22033,T0,TA2
L075,N22051,T0,TA1
L076,N27037,T0,TA2
L077,N39095,T0,TA1
L078,N04021,T0,TA1
L079,N45079,T0,TA1
L080,N01097,T0,TA1
L081,N45019,T0,TA1
L082,N55133,T0,TA2
L083,N05119,T0,TA1
L084,N01089,T0,TA1
L085,N18003,T0,TA1
L086,N48039,T0,TA1
L087,N48027,T0,TA1
L088,N47065,T0,TA1
L089,N51041,T0,TA1
L090,N48355,T0,TA1
