#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1160.3012029416727,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,295.5104004694789,2.991838500000003,19.734482469566796
2,43922.845652183285,1105.0821698469254,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,284.8938111616321,2.991838500000003,18.451955055287943
3,63779.50825859213,1184.217792067608,1.5374146335247612,5428.940278125,54559.46711516838,1047.143475,651.2034863739498,299.1838500000003,299.861472713526,2.991838500000003,20.31459940921547
4,66779.04350464228,1316.3995234118781,1.578733225498359,5428.940278125,57308.467096327935,1047.143475,683.1082055394257,299.1838500000003,407.7047067749104,2.991838500000003,27.98277754483601
5,74043.36803369777,1458.7121367262905,1.8486735888116164,5428.940278125,63088.17304373062,1047.143475,746.0897726212837,299.1838500000003,442.1708905449645,2.991838500000003,33.11304410790411
6,49611.164864815655,1100.3029056009477,1.2198065521551205,5428.940278125,42223.57577976641,1047.143475,509.8314344569976,299.1838500000003,353.9981984110128,2.991838500000003,21.901503129540995
7,67891.04823339195,1318.6615793946903,1.5829833823373634,5428.940278125,58385.25753869055,1047.143475,695.8498373441317,299.1838500000003,408.1966502382223,2.991838500000003,28.054339373511674
8,53034.94786151529,1165.6496502590544,1.318987481427999,5428.940278125,45084.724942384484,1047.143475,542.254966457903,299.1838500000003,371.57680149680834,2.991838500000003,23.589902631278957
9,74321.92550750199,1417.66448212372,1.77979415639117,5428.940278125,63719.533460714236,1047.143475,754.9883429036479,299.1838500000003,428.18625414717826,2.991838500000003,31.355572172921278
10,73776.98555692344,1065.5380590235916,1.7339209028566331,5428.940278125,63418.4569703296,1047.143475,752.4027159268069,299.1838500000003,116.202595300723,2.991838500000003,8.383537965318435
11,79185.83791199776,1104.060781506676,1.8301619996729037,5428.940278125,68266.14245319185,1047.143475,807.7315255191679,299.1838500000003,118.55491561589926,2.991838500000003,8.824997161186866
12,82379.1921876149,1013.1732155598891,1.9315115896525297,5428.940278125,70899.34527999716,1047.143475,836.6301404118116,299.1838500000003,0.0,2.991838500000003,0.0
13,82617.49997189204,992.4945865815469,1.8737119562190558,5428.940278125,71432.87351685058,1047.143475,844.2073461124139,299.1838500000003,0.0,2.991838500000003,0.0
14,55180.89473344068,772.6501363171702,1.3237874740868045,5428.940278125,47179.965990416174,1047.143475,567.3523495624707,299.1838500000003,0.0,2.991838500000003,0.0
15,71304.56337757394,903.4369882437303,1.6362060157786695,5428.940278125,61481.91516965475,1047.143475,731.5459928295187,299.1838500000003,0.0,2.991838500000003,0.0
