#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,3.59257846147263e8,6.645849359054722e9
2.5431221463719704e6,4.412112205691897e8,8.16189079479577e9
1.9092393115614345e6,2.6944170802103597e8,4.984356004350703e9
1.5560973061185484e6,1.982201936087132e8,3.666841408680548e9
1.9210607107483805e6,3.0698249953752995e8,5.678816676299479e9
2.6067928106942493e6,4.604868605608781e8,8.518467557301941e9
2.879117185993429e6,5.1110569126945245e8,9.45485663614417e9
2.9689175106173707e6,4.348908404403047e8,8.044971165401469e9
2.9985296167452415e6,4.3942615922480035e8,8.128869250746817e9
2.9679765409505223e6,4.332139839053796e8,8.013951283588531e9
2.954601455267023e6,4.3116548802728593e8,7.976056509223952e9
2.950190953875321e6,4.30489986267146e8,7.963560517868967e9
1.975736618926649e6,2.2453353367658502e8,4.1536073794172664e9
1.518594625514945e6,1.529860281725605e8,2.8300623303803234e9
1.3095575634758798e6,5.730462802146322e7,1.0319069629064918e9
2.0144328727793773e6,3.208750100690889e8,5.778122440459196e9
2.6705833095403537e6,4.4195303699282503e8,7.958422066360035e9
2.9001524219983225e6,4.818791218709519e8,8.677386771477802e9
2.896033307695893e6,4.776817423933855e8,8.601802909259218e9
1.9277554209616836e6,2.4314240292443857e8,4.378360827358833e9
2.523198965042558e6,4.1632032105329084e8,7.496843674361703e9
2.8515516973446854e6,4.6649849210030675e8,8.400421725159536e9
2.9598276528829862e6,4.850540014016687e8,8.734558075214544e9
2.99553219069979e6,4.9117277338818043e8,8.844741207630198e9
3.007305940599975e6,4.93190469050146e8,8.881074646559923e9
1.8717629334224164e6,1.6481769583385056e8,2.9679370377808437e9
1.3175688923618088e6,5.440890139573912e7,9.797624752633779e8
1.8667702451244206e6,2.840139301555528e8,5.114350484574867e9
2.2745849462575396e6,3.914106679219653e8,1.0620369420666065e10
1.6003215532278824e6,1.848442709883706e8,5.015485279470166e9
1.398129175938486e6,1.730194762888851e8,4.694636364700405e9
2.3214344708447866e6,4.155818028385379e8,1.1276218642900194e10
2.7817187902302956e6,5.051528402668301e8,1.3706600808851847e10
2.9367999025341e6,5.3468933779529107e8,1.4508031482191048e10
2.3547104200092535e6,3.8761092299835646e8,1.0517268769354559e10
2.653470013040371e6,3.676225169421108e8,9.974911920537321e9
2.887909114601272e6,4.049794538276952e8,1.0988539045867771e10
2.8919960158540667e6,4.0264098893500537e8,1.0925088141043234e10
2.3073681996902567e6,2.9036439025655144e8,7.87862300101088e9
2.4142652784654056e6,3.236889862722379e8,8.782838316244974e9
2.789229820251906e6,3.9049215238177735e8,1.0595446813402424e10
2.939276702245693e6,4.1252083048285884e8,1.1193163530027697e10
2.988755411953737e6,5.497523934482529e8,1.2650866666708477e10
3.00507126391842e6,5.528893719105445e8,1.2723054613019838e10
2.325981160023159e6,3.81917168022154e8,8.788653270010645e9
2.717216960782779e6,4.9754486699783427e8,1.1449470430886408e10
1.8395730865402184e6,2.4606698871790603e8,5.662477694408989e9
2.4043995536447624e6,4.335525776340718e8,9.976883989997019e9
2.725956207847854e6,4.953768881772837e8,1.1399581041914396e10
1.739129618267274e6,2.1116035325729623e8,4.859208447638282e9
2.3678799490727508e6,4.48458562137086e8,1.0319899545237896e10
2.496920397232525e6,4.6032927471422976e8,1.0593067618432291e10
2.4823801102378704e6,4.553892085138122e8,1.0479387133233858e10
2.768073154639982e6,5.289942485238599e8,1.2173181572807331e10
2.929000129810549e6,5.633934665692561e8,1.296477416270353e10
2.651261012022955e6,4.8937514119250727e8,1.1261469226892582e10
2.8640802924391893e6,5.3489259509021896e8,1.2934098804544836e10
1.9649497439185628e6,2.865990335876343e8,6.93017673404937e9
2.3155414065347128e6,4.158550884210527e8,1.0055683797797598e10
2.7632752420679647e6,5.151753953689401e8,1.2457322323275826e10
2.930718050293091e6,5.479267632766837e8,1.324927463742462e10
2.9859331536713387e6,5.587266906308266e8,1.3510424873495531e10
3.004140610135946e6,5.622880206852942e8,1.3596540469828114e10
2.9698267940811673e6,4.816456612655159e8,1.1646548538473928e10
2.995529401367588e6,4.877224212599463e8,1.1793489092336353e10
3.0073050208037323e6,4.8972626325742483e8,1.184194347480862e10
3.0111880902015856e6,4.9038704017712206e8,1.185792154974474e10
3.0124685517543983e6,4.9060493467087644e8,1.18631903998598e10
3.0128907903549084e6,4.9067678646986216e8,1.1864927829534273e10
3.0130300256450037e6,4.907004799599021e8,1.186550075565816e10
3.013075939178215e6,6.0342106445992e8,1.2725672072683832e10
