#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,100671.76841277,4590.709829123135,1.4912355604173981,5428.940278125,91256.75590149435,1047.143475,1090.872166627649,299.1838500000003,3511.1737839504644,2.991838500000003,234.47972517004374
2,44004.854530108525,2615.8571586356315,1.3893988398812793,5428.940278125,35792.320142143784,1047.143475,429.37292172307025,299.1838500000003,1703.771185754372,2.991838500000003,110.3495692512544
3,54866.02757157327,2491.805136503541,1.5374146335247612,5428.940278125,45751.119903904684,1047.143475,546.0700106187866,299.1838500000003,1524.484737670738,2.991838500000003,103.27867888793651
4,55920.63023819137,2873.782360590623,1.578733225498359,5428.940278125,46577.95984317017,1047.143475,555.2021922462858,299.1838500000003,1865.0619543892428,2.991838500000003,128.00836710924855
5,66085.6224922494,3192.7569037518224,1.8486735888116164,5428.940278125,55223.4369974914,1047.143475,653.0802774121313,299.1838500000003,2055.4047134818143,2.991838500000003,153.92398819658666
6,43592.40308997931,2490.773390802875,1.2198065521551205,5428.940278125,36276.62091547986,1047.143475,438.0245239072014,299.1838500000003,1663.4540045419624,2.991838500000003,102.91618220051907
7,56363.486633275315,2947.3484896528653,1.5829833823373634,5428.940278125,46993.4661064105,1047.143475,560.0796695075452,299.1838500000003,1932.1462959362757,2.991838500000003,132.79160393363316
8,47988.67228004269,2640.2243350076815,1.318987481427999,5428.940278125,40098.42194734289,1047.143475,482.28238002689847,299.1838500000003,1758.125159957343,2.991838500000003,111.61622891937107
9,63741.70820516031,3305.5729889211416,1.77979415639117,5428.940278125,53263.20913974256,1047.143475,631.0953615336456,299.1838500000003,2187.2785182212997,2.991838500000003,160.17181489622146
10,74975.02400564407,1780.367445606223,1.7339209028566331,5428.940278125,64602.448429700096,1047.143475,766.4497052769466,299.1838500000003,782.9303260727214,2.991838500000003,56.48519377595142
11,78730.54084398395,1845.6134518935487,1.8301619996729037,5428.940278125,67816.16950809352,1047.143475,802.4074026036855,299.1838500000003,808.7321370143038,2.991838500000003,60.20044614965486
12,85816.70354048978,1441.4001712818194,1.9315115896525297,5428.940278125,74296.76620977583,1047.143475,876.7205635080132,299.1838500000003,397.6374206244822,2.991838500000003,30.58953509744819
13,82524.50160655669,1423.4292806995518,1.8737119562190558,5428.940278125,71340.96138662953,1047.143475,843.1211109981124,299.1838500000003,400.6833927508085,2.991838500000003,30.251301367196408
14,56583.540049631156,1042.165923306832,1.3237874740868045,5428.940278125,48565.94452523734,1047.143475,584.019130931785,299.1838500000003,253.40670092959496,2.991838500000003,16.10908606006671
15,68792.16978407816,1180.4054978053437,1.6362060157786695,5428.940278125,58999.06392007281,1047.143475,702.0036489156795,299.1838500000003,258.87203274829955,2.991838500000003,18.0964768133139
