WARNING: Method definition getData(JuMP.Model) in module Main at /home/cao27/SINGO/Plasmo.jl/src/NetParPipsNlp.jl:65 overwritten at /home/cao27/SINGO/Plasmo.jl/src/NetIpopt.jl:21.
WARNING: Method definition findnode(Any, Any) in module Main at /home/cao27/SINGO/Param/../preprocess.jl:312 overwritten at /home/cao27/SINGO/Param/../preprocessex.jl:369.
presolving:
(round 1, fast)       93 del vars, 93 del conss, 0 add conss, 101 chg bounds, 0 chg sides, 0 chg coeffs, 470 upgd conss, 0 impls, 0 clqs
(round 2, fast)       93 del vars, 93 del conss, 0 add conss, 174 chg bounds, 0 chg sides, 0 chg coeffs, 470 upgd conss, 0 impls, 0 clqs
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 93 deleted vars, 93 deleted constraints, 0 added constraints, 174 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 989 variables (0 bin, 0 int, 0 impl, 989 cont) and 987 constraints
    470 constraints of type <abspower>
    517 constraints of type <quadratic>
Presolving Time: 0.01

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************


  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   838 |     - |6423k| 1.521000e-01 |      --      |    Inf 
q     1 |     0 |   838 |     - |6829k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 |  1130 |     - |7193k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 |  1130 |     - |7179k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 |  1526 |     - |7555k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 |  1788 |     - |7692k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 |  2055 |     - |7816k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 |  2348 |     - |7892k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 |  2582 |     - |8026k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 | 28402 |     - |8016k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 | 28599 |     - |8122k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 | 28890 |     - |8262k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 | 29045 |     - |8286k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 | 29222 |     - |6782k| 1.521000e-01 | 2.723121e+01 |  Large 
      1 |     0 | 29266 |     - |6804k| 1.521000e-01 | 2.723121e+01 |  Large 
