WARNING: Method definition getData(JuMP.Model) in module Main at /home/cao27/SINGO/Plasmo.jl/src/NetParPipsNlp.jl:65 overwritten at /home/cao27/SINGO/Plasmo.jl/src/NetIpopt.jl:21.
WARNING: Method definition findnode(Any, Any) in module Main at /home/cao27/SINGO/Param/../preprocess.jl:312 overwritten at /home/cao27/SINGO/Param/../preprocessex.jl:369.
presolving:
(round 1, fast)       93 del vars, 93 del conss, 0 add conss, 106 chg bounds, 0 chg sides, 0 chg coeffs, 472 upgd conss, 0 impls, 0 clqs
(round 2, fast)       93 del vars, 93 del conss, 0 add conss, 190 chg bounds, 0 chg sides, 0 chg coeffs, 473 upgd conss, 0 impls, 0 clqs
(round 3, medium)     93 del vars, 93 del conss, 0 add conss, 190 chg bounds, 0 chg sides, 0 chg coeffs, 474 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 2 medium, 1 exhaustive):
 93 deleted vars, 93 deleted constraints, 0 added constraints, 191 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 989 variables (0 bin, 0 int, 0 impl, 989 cont) and 987 constraints
      1 constraints of type <linear>
    472 constraints of type <abspower>
    514 constraints of type <quadratic>
Presolving Time: 0.00

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************


  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   809 |     - |6580k| 1.891249e-01 |      --      |    Inf 
q     1 |     0 |   809 |     - |6938k| 1.891249e-01 | 3.851427e+01 |  Large 
      1 |     0 |  1052 |     - |7291k| 2.829851e-01 | 3.851427e+01 |  Large 
      1 |     0 |  1052 |     - |7276k| 2.829851e-01 | 3.851427e+01 |  Large 
      1 |     0 |  1405 |     - |7526k| 3.833014e-01 | 3.851427e+01 |9948.04%
      1 |     0 |  1662 |     - |7653k| 3.994975e-01 | 3.851427e+01 |9540.68%
      1 |     0 |  1853 |     - |7758k| 4.043057e-01 | 3.851427e+01 |9426.03%
      1 |     0 |  1982 |     - |7823k| 4.117298e-01 | 3.851427e+01 |9254.26%
      1 |     0 |  2079 |     - |7877k| 4.190616e-01 | 3.851427e+01 |9090.60%
      1 |     0 |  2171 |     - |7918k| 4.224669e-01 | 3.851427e+01 |9016.52%
      1 |     0 |  2264 |     - |7954k| 4.372096e-01 | 3.851427e+01 |8709.11%
      1 |     0 |  2446 |     - |8066k| 4.467190e-01 | 3.851427e+01 |8521.59%
      1 |     0 |  2528 |     - |8091k| 4.495119e-01 | 3.851427e+01 |8468.02%
      1 |     0 |  2596 |     - |6499k| 4.501157e-01 | 3.851427e+01 |8456.53%
      1 |     0 |  2686 |     - |6503k| 4.502559e-01 | 3.851427e+01 |8453.86%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
