Source,Target
1,7448
2,12837
3,3932
4,5561
4,20543
5,14820
6,7360
7,18935
8,17255
9,4146
9,10861
9,15015
9,27532
10,24151
11,23492
12,407
12,2481
13,24702
14,27562
14,28120
15,2799
15,8839
15,27019
16,11052
16,13643
16,28608
17,4731
17,6488
17,7711
18,667
18,11553
18,20111
18,23398
19,8032
19,25604
19,26263
20,25145
21,28797
22,12567
22,17567
22,19963
23,23968
24,17342
24,21512
25,9432
25,15229
25,16445
25,24965
25,29424
26,24782
27,15261
28,10270
28,26145
29,16741
30,753
31,6704
32,11470
33,4759
34,4385
34,4856
34,7240
34,16837
34,21040
35,10370
35,15317
35,16746
35,22622
36,23086
37,18132
38,9594
38,11732
38,23663
38,28169
39,12010
40,10042
40,10656
40,10762
41,14487
41,17936
42,2445
42,16482
42,16704
42,19878
43,7100
43,10751
43,21249
44,1515
45,1218
45,12962
46,4318
46,8455
46,9325
46,27168
47,3742
47,11384
47,17039
48,8446
49,8023
49,18929
49,22481
50,2450
50,3273
50,22279
50,22510
51,954
52,18709
53,8163
54,6958
54,12284
54,17848
54,17854
55,843
56,10365
56,14118
56,25026
57,17714
58,9702
59,4497
59,6594
59,17162
59,21921
59,28420
60,16151
60,17288
60,23433
60,24399
61,4374
61,9231
61,17272
62,21248
63,1401
63,3595
63,24875
64,3431
64,24023
64,26772
64,29388
65,1771
65,7659
65,16379
65,18045
65,26191
66,14575
66,24915
67,11181
68,7472
68,10219
68,13734
68,26878
69,12236
69,24044
70,7946
71,4677
72,2292
73,1930
73,3952
73,8185
73,22346
74,16330
75,9997
75,21158
75,23898
75,29499
76,1732
76,5137
76,8912
76,16692
76,25887
76,26083
77,6582
77,15549
77,23111
77,29712
78,17940
79,29043
80,1655
80,19284
80,20133
80,20812
81,18429
81,20257
81,23444
82,12490
83,19101
84,3793
84,20929
84,21551
84,29129
85,4484
86,22264
87,584
87,601
87,5045
87,9207
87,12732
87,13669
87,13858
87,24885
87,26904
87,28939
88,26405
88,26592
89,3777
89,11149
89,28241
90,2421
90,10503
90,13624
90,14495
91,17708
91,20842
91,25977
91,27061
92,18357
93,8946
94,630
94,6649
94,28744
95,14090
95,15463
96,5849
96,23416
96,28959
96,29068
97,12645
98,28464
99,20129
99,22279
99,23436
100,704
100,8678
100,9156
101,10042
101,11295
101,20804
102,12477
103,9133
103,29099
103,29924
104,12143
104,26601
105,14989
106,2111
106,13703
106,28046
107,18035
108,16048
109,5292
109,12344
110,14562
110,17863
110,27100
111,2055
111,4105
111,7553
111,24456
111,25035
112,18061
112,22716
112,27314
113,10880
113,14462
113,21762
113,23681
113,29036
114,20185
115,26943
116,8556
117,14622
118,5596
118,13898
119,5731
119,8605
119,15112
120,6286
120,20154
121,22352
122,17886
123,21094
123,23291
124,15147
124,19560
124,19687
125,10447
125,12513
125,19844
125,26776
126,12348
127,10996
127,13339
128,23637
129,18682
130,18676
131,769
131,2094
131,3803
131,7179
131,25620
132,5733
132,13659
132,15199
133,6477
133,7696
133,26140
134,1694
134,13062
135,8533
135,11863
135,15771
136,5836
136,12344
137,15516
137,29223
138,19752
139,17312
140,440
140,1719
140,4194
140,10411
140,16536
141,2172
141,16988
141,18753
141,19571
141,21472
141,29788
142,14939
142,23546
142,28322
143,10682
143,18402
144,17317
145,5418
145,11729
145,20506
145,22140
145,26390
145,29734
146,3463
147,356
147,10078
147,10797
147,22740
148,11486
148,22242
149,12966
149,26240
149,28367
150,17128
150,29955
151,10630
151,19267
151,21696
151,28236
152,6858
153,20599
153,21723
154,10713
155,17612
155,22520
155,24189
156,29570
157,4271
157,6494
158,16893
158,23012
159,4619
159,20562
160,8938
160,9821
160,9933
160,18593
160,22445
160,27257
160,27708
161,464
161,11863
162,3017
162,10416
162,16873
162,22584
163,11747
163,18263
163,19373
163,24404
164,14105
164,25206
165,18673
165,23691
166,4377
166,25830
167,2549
168,2165
168,8198
168,17852
169,6082
170,11666
171,2681
171,19641
171,20190
172,3694
172,6721
172,7546
172,17804
172,22650
172,24068
173,1339
173,26884
173,27271
174,26810
175,4595
175,9084
176,8434
177,16545
178,26294
179,274
179,9342
179,17019
179,20284
179,24722
180,22699
181,11488
181,22028
181,22390
182,4878
182,14018
182,16107
182,26508
182,26812
183,26651
184,1773
184,9977
184,19147
185,11000
185,13099
185,13497
185,15819
186,12464
187,6487
187,8581
187,22224
188,4643
188,9086
188,13142
189,22492
190,10045
190,16217
190,21745
191,7010
192,2099
192,16799
192,21086
192,26022
193,5424
193,20801
193,22195
193,26036
194,2215
194,11852
194,28202
