# 1. Storage ID| 2. Storage node|3. Storage product| 4. Storage bid| 5. Storage capacity
L001|NC002|Digestate|0.0|1E6
L002|NC003|Digestate|0.0|1E6
L003|NC004|Digestate|0.0|1E6
L004|NC005|Digestate|0.0|1E6
L005|NC006|Digestate|0.0|1E6
L006|NC007|Digestate|0.0|1E6
L007|NC008|Digestate|0.0|1E6
L008|NC013|Digestate|0.0|1E6
L009|NC015|Digestate|0.0|1E6
L010|NC025|Digestate|0.0|1E6
L011|NC026|Digestate|0.0|1E6
L012|NC029|Digestate|0.0|1E6
L013|NC031|Digestate|0.0|1E6
L014|NC032|Digestate|0.0|1E6
L015|NC034|Digestate|0.0|1E6
L016|NC040|Digestate|0.0|1E6
L017|NC041|Digestate|0.0|1E6
L018|NC042|Digestate|0.0|1E6
L019|NC043|Digestate|0.0|1E6
L020|NC044|Digestate|0.0|1E6
L021|NC045|Digestate|0.0|1E6
L022|NC048|Digestate|0.0|1E6
L023|NC049|Digestate|0.0|1E6
L024|NC050|Digestate|0.0|1E6
L025|NC051|Digestate|0.0|1E6
L026|NC052|Digestate|0.0|1E6
L027|NC054|Digestate|0.0|1E6
L028|NC061|Digestate|0.0|1E6
L029|NC063|Digestate|0.0|1E6
L030|NC064|Digestate|0.0|1E6
L031|NC065|Digestate|0.0|1E6
L032|NC066|Digestate|0.0|1E6
L033|NC068|Digestate|0.0|1E6
L034|NC069|Digestate|0.0|1E6
L035|NC070|Digestate|0.0|1E6
L036|NC071|Digestate|0.0|1E6
L037|NC074|Digestate|0.0|1E6
L038|NC076|Digestate|0.0|1E6
L039|NC080|Digestate|0.0|1E6
L040|NC086|Digestate|0.0|1E6
L041|NC089|Digestate|0.0|1E6
L042|NC090|Digestate|0.0|1E6
L043|NC092|Digestate|0.0|1E6
L044|NC093|Digestate|0.0|1E6
L045|NC095|Digestate|0.0|1E6
L046|NC097|Digestate|0.0|1E6
L047|NC101|Digestate|0.0|1E6
L048|NC105|Digestate|0.0|1E6
L049|NC106|Digestate|0.0|1E6
L050|NC107|Digestate|0.0|1E6
L051|NC109|Digestate|0.0|1E6
L052|NC110|Digestate|0.0|1E6
L053|NC111|Digestate|0.0|1E6
L054|NC115|Digestate|0.0|1E6
L055|NC116|Digestate|0.0|1E6
L056|NC120|Digestate|0.0|1E6
L057|NC121|Digestate|0.0|1E6
L058|NC128|Digestate|0.0|1E6
L059|NC130|Digestate|0.0|1E6
L060|NC132|Digestate|0.0|1E6
L061|NC133|Digestate|0.0|1E6
L062|NC136|Digestate|0.0|1E6
L063|NC143|Digestate|0.0|1E6
L064|NC146|Digestate|0.0|1E6
L065|NC150|Digestate|0.0|1E6
L066|NC152|Digestate|0.0|1E6
L067|NC154|Digestate|0.0|1E6
L068|NC157|Digestate|0.0|1E6
L069|NC158|Digestate|0.0|1E6
L070|NC160|Digestate|0.0|1E6
L071|NC161|Digestate|0.0|1E6
L072|NC162|Digestate|0.0|1E6
L073|NC166|Digestate|0.0|1E6
L074|NC167|Digestate|0.0|1E6
L075|NC168|Digestate|0.0|1E6
L076|NC173|Digestate|0.0|1E6
L077|NC174|Digestate|0.0|1E6
L078|NC175|Digestate|0.0|1E6
L079|NC179|Digestate|0.0|1E6
L080|NC189|Digestate|0.0|1E6
L081|NC190|Digestate|0.0|1E6
L082|NC192|Digestate|0.0|1E6
L083|NC193|Digestate|0.0|1E6
L084|NC194|Digestate|0.0|1E6
L085|NC195|Digestate|0.0|1E6
L086|NC196|Digestate|0.0|1E6
L087|NC197|Digestate|0.0|1E6
L088|NC198|Digestate|0.0|1E6
L089|NC199|Digestate|0.0|1E6
L090|NC200|Digestate|0.0|1E6
L091|NC201|Digestate|0.0|1E6
L092|NC202|Digestate|0.0|1E6
L093|NC203|Digestate|0.0|1E6
L094|NC205|Digestate|0.0|1E6
L095|NC206|Digestate|0.0|1E6
L096|NC207|Digestate|0.0|1E6
L097|NC213|Digestate|0.0|1E6
L098|NC215|Digestate|0.0|1E6
L099|NC216|Digestate|0.0|1E6
L100|NC217|Digestate|0.0|1E6
L101|NC219|Digestate|0.0|1E6
L102|NC220|Digestate|0.0|1E6
L103|NC222|Digestate|0.0|1E6
L104|NC223|Digestate|0.0|1E6
L105|NC224|Digestate|0.0|1E6
L106|NC227|Digestate|0.0|1E6
L107|NC228|Digestate|0.0|1E6
L108|NC229|Digestate|0.0|1E6
L109|NC230|Digestate|0.0|1E6
L110|NC231|Digestate|0.0|1E6
L111|NC233|Digestate|0.0|1E6
L112|NC234|Digestate|0.0|1E6
L113|NC236|Digestate|0.0|1E6
L114|NC237|Digestate|0.0|1E6
L115|NC238|Digestate|0.0|1E6
L116|NC240|Digestate|0.0|1E6
L117|NC241|Digestate|0.0|1E6
L118|NC242|Digestate|0.0|1E6
L119|NC243|Digestate|0.0|1E6
L120|NC245|Digestate|0.0|1E6
