,date,secchi_m,chla,TP,Perception
0,1979-03-16,6.1,,,
1,1992-05-25,3.0,,,3.0
2,1992-06-06,3.5,,,3.0
3,1992-06-24,3.0,,,2.0
4,1992-07-10,2.7,,,2.0
5,1995-07-24,3.0,,,2.0
6,1995-08-05,3.2,,,2.0
7,1995-09-01,2.4,,,2.0
8,1996-06-02,1.1,,,3.0
9,1996-06-29,4.0,,,3.0
10,1996-07-03,4.0,,,3.0
11,1996-07-24,3.7,,,2.0
12,1996-08-03,3.7,,,3.0
13,1996-09-01,3.6,,,2.0
14,1996-09-18,3.0,,,2.0
15,1996-10-05,2.1,,,2.0
16,1997-10-16,3.0,,,
17,1998-06-03,3.3,,,
18,1998-07-10,4.0,,,
19,1998-08-14,3.1,,,
20,1998-09-17,4.0,,,
21,1998-09-22,2.8,,,
22,1998-10-22,3.3,,,
23,2000-02-14,,,56,
24,2000-04-11,,1.8,,
25,2000-05-24,,,34,
26,2000-06-22,,4.4,33,
27,2000-07-11,,3.3,18,
28,2000-07-21,,3.2,39,
29,2000-08-02,,4.5,81,
30,2000-08-11,,3.4,39,
31,2000-08-16,,2.9,145,
32,2000-08-23,,8.6,34,
33,2000-09-01,,6.9,36,
34,2000-09-06,,17.0,49,
35,2000-09-15,,2.7,24,
36,2000-09-26,,4.0,36,
37,2000-10-06,,,70,
38,2000-10-09,,,178,
39,2000-10-10,,,139,
40,2000-10-11,,,24,
41,2000-10-12,,,25,
42,2000-10-13,,,156,
43,2002-06-10,,3.74,,
44,2002-06-10,4.4,,,
45,2002-08-06,,0.27,,
46,2002-08-06,4.5,,,
47,2002-08-23,,0.8,,
48,2002-08-23,4.7,,,
49,2002-10-04,,0.33,,
50,2002-10-04,4.5,,,
51,2003-05-22,,1.94,,
52,2003-05-22,6.6,,,
53,2003-06-25,,1.67,,
54,2003-06-25,5.4,,,
55,2003-07-21,,0.8,,
56,2003-07-21,5.2,,,
57,2003-08-18,,1.3,,
58,2003-08-18,5.3,,,
59,2004-06-21,3.9,2.07,,
60,2004-07-09,3.0,3.0,,
61,2004-07-27,5.3,1.47,,
62,2004-08-17,3.7,3.8,,
63,2004-08-25,3.3,2.47,,
64,2005-05-31,,0.87,,
65,2005-05-31,4.7,,,
66,2005-06-28,,1.27,,
67,2005-06-28,3.7,,,
68,2005-07-12,,1.4,,
69,2005-07-12,4.6,,,
70,2005-08-02,,1.62,,
71,2005-08-02,3.4,,,
72,2005-08-22,,2.48,,
73,2005-08-22,2.8,,,
74,2006-06-02,4.0,2.18,,
75,2006-06-12,3.3,2.4,,
76,2006-06-27,4.0,2.94,,
77,2006-07-11,4.0,2.2,,
78,2006-07-27,4.1,3.4,,
79,2006-08-08,3.1,3.09,,
80,2006-08-22,3.8,,,
81,2006-09-05,4.4,,,
82,2007-06-21,4.7,1.76,,
83,2007-08-08,4.0,2.85,,
84,2008-06-23,,0.51,,
85,2008-06-23,7.4,,,
86,2008-07-01,,0.98,,
87,2008-07-01,7.3,,,
