Generator Name,bus of connection,Max Capacity (MW),Commit,Data File of Commit,Scenario of Commit,Heat Rate Base (MMBTU/hr),Heat Rate Inc Band 1 (BTU/kWh),Heat Rate Inc Band 2 (BTU/kWh),Heat Rate Inc Band 3 (BTU/kWh),Heat Rate Inc Band 4 (BTU/kWh),Heat Rate Inc Band 5 (BTU/kWh),Load Point Band 1 (MW),Load Point Band 2 (MW),Load Point Band 3 (MW),Load Point Band 4 (MW),Load Point Band 5 (MW),Escalator of Load Point (all bands),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Escalator of Min Stable Level,Start Cost ($),VO&M Charge ($/MWh),Rating,Escalator of rating,Committed in following market in PLEXOS
Wind 01,bus024,11.5,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 01,
Wind 02,bus024,38,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 02,
Wind 03,bus024,10,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 03,
Wind 04,bus024,5,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 04,
Wind 05,bus024,1.1,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 05,
Wind 06,bus027,24.1,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 06,
Wind 07,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 07,
Wind 08,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 08,
Wind 09,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 09,
Wind 10,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 10,
Wind 11,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 11,
Wind 12,bus031,97.5,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 12,
Wind 13,bus031,58.7,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 13,
Wind 14,bus100,400,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 14,
Wind 15,bus082,50,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 15,
Wind 16,bus082,149.5,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 16,
Wind 17,bus082,149.5,1,,,,,,,,,,,,,,,,,,,0,,,,,Wind 17,
Solar-bus015,bus015,144.04,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 01,
Solar-bus018,bus018,185.52,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 02,
Solar-bus019,bus019,124.8,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 03,
Solar-bus032,bus032,751.61,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 04,
Solar-bus054,bus054,264.47,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 05,
Solar-bus055,bus055,30,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 06,
Solar-bus069,bus069,124.9,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 07,
Solar-bus076,bus076,25,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 08,
Solar-bus092,bus092,519.26,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 09,
Solar-bus100,bus100,104.99,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 10,
Solar-bus104,bus104,467,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 11,
Solar-bus105,bus105,274.48,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 12,
Solar-bus110,bus110,253.9,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 13,
Solar-bus112,bus112,175.8,1,,,,,,,,,,,,,,,,,,,0,,,,,Solar 14,
