Hour,Wind01,Wind02,Wind03,Wind04,Wind05,Wind06,Wind07,Wind08,Wind09,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17
1,0.55414175,14.04624232,7.015665341,2.340093517,0.036970244,8.426567426,0.377750803,0.411080292,0.051437927,0.259133401,2.22363615,23.74386775,25.15986366,224.5228308,16.50463389,2.148383869,10.62029284
2,1.10773176,17.79633286,7.016581538,2.229907344,0.080770416,9.675106423,0.75967261,0.507920199,0.169979287,0.404308659,2.533847611,21.13682591,22.97507812,216.5203552,18.66946065,3.082982116,8.83681465
3,1.396010178,20.23185055,7.017241505,2.265023388,0.100205696,10.04065847,1.013358862,0.462628045,0.175337969,0.41182438,2.598218095,18.57365395,20.79865793,212.8467927,20.4813218,4.316282802,7.166880245
4,1.463285069,21.50360843,7.0176807,2.416677306,0.1001857,9.673960879,1.155778281,0.320189248,0.107118085,0.322223873,2.461419033,16.06923279,18.6408893,212.7088762,21.97652917,5.96762809,5.622111156
5,1.353864497,21.76241952,7.01793458,2.656104756,0.085620045,8.725750938,1.203899589,0.125589224,0.004923747,0.176050449,2.168121853,13.63844334,16.51205849,215.3133391,23.19139464,8.156360141,4.214128918
6,1.115131929,21.15085059,7.01804061,2.951702431,0.061897525,7.355862084,1.174910442,0,0,0.016614477,1.76719927,11.31476685,14.42814372,219.8019014,24.16053186,11.04371752,2.95840299
7,0.806772439,19.77848335,7.018044284,3.260511169,0.036323658,5.760512274,1.086874247,0,0,0,1.324329136,9.206085771,12.42789122,225.0562313,24.91176182,14.95852438,1.885794548
8,0.491546504,17.74665322,7.017993107,3.536732842,0.016683139,4.145015599,0.958073343,0,0,0,0.909390586,7.438882871,10.55573924,229.8929837,25.47120735,20.27150129,1.031012699
9,0.2322146,15.15669563,7.01793458,3.734569324,0.010760664,2.714686149,0.806790073,0.003116438,0.000649949,0.013585574,0.592262758,6.139640919,8.856125993,233.1288138,25.86499124,27.35336882,0.428766545
10,0.076160194,12.15117736,7.01790617,3.822417308,0.02394503,1.629357355,0.650212092,0.465593869,0.280790141,0.347652531,0.421818364,5.341841145,7.345029721,233.9054417,26.12772717,36.36536552,0.094525549
11,0.009258713,9.037590498,7.017905185,3.825452771,0.052041431,0.866940016,0.50114833,1.145822574,0.764580552,0.868406432,0.362904431,4.706958638,5.924588682,232.6648479,26.32799229,46.63080195,0
12,0.002008573,6.164658459,7.017918898,3.783046511,0.088459165,0.359864272,0.371313029,1.984601255,1.5095631,1.54998117,0.359361561,3.803466949,4.46848114,230.1740781,26.54285461,57.26350667,0
13,0.024908192,3.881104672,7.01793458,3.734569324,0.126607526,0.040560263,0.272420434,2.922728614,2.573279705,2.366510635,0.355030358,2.19983963,2.85038536,227.200178,26.84938214,67.37730825,0.007983793
