id,Region,TimePoint,Subproblem
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,2,1,1
34,2,1,1
35,2,1,1
36,2,1,1
37,2,1,1
38,2,1,1
39,2,1,1
40,2,1,1
41,2,1,1
42,2,1,1
43,2,1,1
44,2,1,1
45,2,1,1
46,2,1,1
47,2,1,1
48,2,1,1
49,2,1,1
50,2,1,1
51,2,1,1
52,2,1,1
53,2,1,1
54,2,1,1
55,2,1,1
56,2,1,1
57,2,1,1
58,2,1,1
59,2,1,1
60,2,1,1
61,2,1,1
62,2,1,1
63,2,1,1
64,2,1,1
65,2,1,1
66,2,1,1
67,2,1,1
68,2,1,1
69,2,1,1
70,1,1,1
71,1,1,1
72,1,1,1
73,1,1,1
74,1,1,1
75,1,1,1
76,2,1,1
77,2,1,1
78,2,1,1
79,2,1,1
80,2,1,1
81,2,1,1
82,3,1,1
83,3,1,1
84,3,1,1
85,3,1,1
86,3,1,1
87,3,1,1
88,3,1,1
89,3,1,1
90,3,1,1
91,3,1,1
92,3,1,1
93,3,1,1
94,3,1,1
95,3,1,1
96,3,1,1
97,2,1,1
98,2,1,1
99,2,1,1
100,3,1,1
101,3,1,1
102,3,1,1
103,3,1,1
104,3,1,1
105,3,1,1
106,3,1,1
107,3,1,1
108,3,1,1
109,3,1,1
110,3,1,1
111,3,1,1
112,3,1,1
113,1,1,1
114,1,1,1
115,1,1,1
116,2,1,1
117,1,1,1
118,2,1,1
119,1,1,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,1,1,1
125,1,1,1
126,1,1,1
127,1,1,1
128,1,1,1
129,1,1,1
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,1
142,1,1,1
143,1,1,1
144,1,1,1
145,1,1,1
146,1,1,1
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,1,1,1
153,1,1,1
154,1,1,1
155,1,1,1
156,1,1,1
157,1,1,1
158,1,1,1
159,1,1,1
160,1,1,1
161,1,1,1
162,1,1,1
163,1,1,1
164,2,1,1
165,2,1,1
166,2,1,1
167,2,1,1
168,2,1,1
169,2,1,1
170,2,1,1
171,2,1,1
172,1,1,1
173,2,1,1
174,2,1,1
175,2,1,1
176,2,1,1
177,2,1,1
178,2,1,1
179,2,1,1
180,2,1,1
181,2,1,1
182,2,1,1
183,2,1,1
184,2,1,1
185,2,1,1
186,2,1,1
187,2,1,1
188,2,1,1
189,2,1,1
190,2,1,1
191,2,1,1
192,2,1,1
193,2,1,1
194,2,1,1
195,2,1,1
196,2,1,1
197,2,1,1
198,2,1,1
199,2,1,1
200,2,1,1
201,2,1,1
202,2,1,1
203,2,1,1
204,2,1,1
205,2,1,1
206,2,1,1
207,2,1,1
208,2,1,1
209,2,1,1
210,2,1,1
211,2,1,1
212,2,1,1
213,2,1,1
214,2,1,1
215,2,1,1
216,2,1,1
217,2,1,1
218,2,1,1
219,2,1,1
220,2,1,1
221,2,1,1
222,2,1,1
223,2,1,1
224,2,1,1
225,2,1,1
226,2,1,1
227,1,1,1
228,1,1,1
229,1,1,1
230,1,1,1
231,1,1,1
232,1,1,1
233,1,1,1
234,2,1,1
235,1,1,1
236,2,1,1
237,2,1,1
238,1,1,1
239,2,1,1
240,2,1,1
241,2,1,1
242,2,1,1
243,2,1,1
244,2,1,1
245,2,1,1
246,2,1,1
247,3,1,1
248,3,1,1
249,3,1,1
250,3,1,1
251,3,1,1
252,3,1,1
253,3,1,1
254,3,1,1
255,3,1,1
256,3,1,1
257,3,1,1
258,3,1,1
259,3,1,1
